,complaint_id,date_received,district_occurrence,general_cap_classification,summary,date_of_complaint,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,num_complaint_rows,complaint_key,sustained_investigative_finding,guilty_disciplinary_finding,training_counseling_or_guilty_disciplinary_finding,complainant_sex,complainant_race,complainant_age
689,15-0275,2015-06-01,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-24-13 at 9:30pm, they were falsely arrested by an officer assigned to Highway Patrol.",2013-05-24,53673288.0,white,male,5300 HIGHWAY PATROL,Verbal Abuse,1,"15-0275,53673288.0,Verbal Abuse",False,False,False,male,latino,31.0
690,15-0276,2015-06-03,800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-24-15 at 10:33am, they were harassed by an officer from the Canine Unit.",2015-05-24,43241426.0,white,male,5861 CANINE UNIT,Departmental Violation,1,"15-0276,43241426.0,Departmental Violation",False,False,False,male,white,23.0
691,15-0277,2015-06-01,2600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-7-15 at 4:15pm, they were falsely arrested by unknown 26th District officers.",2015-05-07,53322069.0,black,female,2600 26TH DISTRICT,Departmental Violation,1,"15-0277,53322069.0,Departmental Violation",False,False,False,female,black,33.0
692,15-0277,2015-06-01,2600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-7-15 at 4:15pm, they were falsely arrested by unknown 26th District officers.",2015-05-07,68301927.0,latino,male,2600 26TH DISTRICT,Departmental Violation,1,"15-0277,68301927.0,Departmental Violation",False,False,False,female,black,33.0
693,15-0278,2015-06-01,1200, VERBAL ABUSE,"According to the complainant, on 12-13-14 at 2:26am, they were verbally abused by officers assigned to the 12th District.",2014-12-13,36091386.0,white,male,1200 12TH DISTRICT,Verbal Abuse,1,"15-0278,36091386.0,Verbal Abuse",False,False,False,male,black,27.0
694,15-0278,2015-06-01,1200, VERBAL ABUSE,"According to the complainant, on 12-13-14 at 2:26am, they were verbally abused by officers assigned to the 12th District.",2014-12-13,67148362.0,black,male,1200 12TH DISTRICT,Verbal Abuse,1,"15-0278,67148362.0,Verbal Abuse",False,False,False,male,black,27.0
695,15-0279,2015-06-02,800, PHYSICAL ABUSE,"According to the complainant, on 5-22-15 at 10:05pm, their juvenile was physically abused and falsely arrested by officers assigned to the 8th District.",2015-05-22,40763666.0,black,male,0800 08TH DISTRICT,Physical Abuse,1,"15-0279,40763666.0,Physical Abuse",False,False,False,female,white,45.0
696,15-0279,2015-06-02,800, PHYSICAL ABUSE,"According to the complainant, on 5-22-15 at 10:05pm, their juvenile was physically abused and falsely arrested by officers assigned to the 8th District.",2015-05-22,50010721.0,black,male,0800 08TH DISTRICT,Physical Abuse,1,"15-0279,50010721.0,Physical Abuse",False,False,False,female,white,45.0
697,15-0280,2015-06-02,900, PHYSICAL ABUSE,"According to the complainant, on 5-23-15 at 6:55pm, they were physically abused by officers from Highway Patrol and did not receive proper service from an unidentified supervisor.",2015-05-23,43670923.0,black,male,5300 HIGHWAY PATROL,Departmental Violation,1,"15-0280,43670923.0,Departmental Violation",False,False,False,female,black,28.0
698,15-0280,2015-06-02,900, PHYSICAL ABUSE,"According to the complainant, on 5-23-15 at 6:55pm, they were physically abused by officers from Highway Patrol and did not receive proper service from an unidentified supervisor.",2015-05-23,38672830.0,white,female,0900 09TH DISTRICT,Physical Abuse,1,"15-0280,38672830.0,Physical Abuse",False,False,False,female,black,28.0
699,15-0280,2015-06-02,900, PHYSICAL ABUSE,"According to the complainant, on 5-23-15 at 6:55pm, they were physically abused by officers from Highway Patrol and did not receive proper service from an unidentified supervisor.",2015-05-23,38672830.0,white,female,0900 09TH DISTRICT,Lack of Service,1,"15-0280,38672830.0,Lack of Service",False,False,False,female,black,28.0
700,15-0281,2015-06-03,1400, LACK OF SERVICE,"According to the complainant, on 4-13-14 at 4:45pm, they did not receive proper service from an officer assigned to the 14th District.",2014-04-13,87634260.0,latino,male,1400 14TH DISTRICT,Lack of Service,1,"15-0281,87634260.0,Lack of Service",False,False,False,female,black,61.0
700,15-0281,2015-06-03,1400, LACK OF SERVICE,"According to the complainant, on 4-13-14 at 4:45pm, they did not receive proper service from an officer assigned to the 14th District.",2014-04-13,87634260.0,latino,male,1400 14TH DISTRICT,Lack of Service,1,"15-0281,87634260.0,Lack of Service",False,False,False,male,,
701,15-0282,2015-06-02,1400, HARASSMENT,"According to the complainant, on 5-29-15 at 3:30am, an officer assigned to the 14th District, conducted themselves unprofessionally while on-duty.",2015-05-29,73787195.0,black,male,1400 14TH DISTRICT,Harassment,1,"15-0282,73787195.0,Harassment",False,False,False,female,white,30.0
702,15-0283,2015-06-03,600, DOMESTIC,"According to the complainant, they are being harassed by an off-duty officer assigned to the 19th District.",,86598970.0,black,male,1900 19TH DISTRICT,Domestic,1,"15-0283,86598970.0,Domestic",False,False,False,female,black,46.0
704,15-0283,2015-06-03,600, DOMESTIC,"According to the complainant, they are being harassed by an off-duty officer assigned to the 19th District.",,86598970.0,black,male,1900 19TH DISTRICT,Criminal Allegation,1,"15-0283,86598970.0,Criminal Allegation",False,False,False,female,black,46.0
706,15-0283,2015-06-03,600, DOMESTIC,"According to the complainant, they are being harassed by an off-duty officer assigned to the 19th District.",,86598970.0,black,male,1900 19TH DISTRICT,Departmental Violation,1,"15-0283,86598970.0,Departmental Violation",False,False,False,female,black,46.0
707,15-0284,2015-06-03,200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-29-15 at 11:00am, they were harassed by officers assigned to the 2nd District.",2015-05-29,92106210.0,white,male,0200 02ND DISTRICT,Departmental Violation,2,"15-0284,92106210.0,Departmental Violation",True,False,True,male,black,20.0
708,15-0284,2015-06-03,200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-29-15 at 11:00am, they were harassed by officers assigned to the 2nd District.",2015-05-29,68726961.0,white,male,0200 02ND DISTRICT,Departmental Violation,2,"15-0284,68726961.0,Departmental Violation",True,False,True,male,black,20.0
712,15-0285,2015-06-03,2500, CIVIL RIGHTS COMPLAINT,"According to the complainant, since the middle of April 2015, they have been harassed by a known officer and other unknown 25th District officers.",,17870218.0,black,male,2500 25TH DISTRICT,Civil Rights Complaint,1,"15-0285,17870218.0,Civil Rights Complaint",False,False,False,male,black,47.0
713,15-0286,2015-06-05,1700, PHYSICAL ABUSE,"According to the complainant, on 5-24-15 at 10:10pm, they were physically abused by officers assigned to the 17th District.",2015-05-24,97229959.0,black,male,1700 17TH DISTRICT,Departmental Violation,1,"15-0286,97229959.0,Departmental Violation",True,False,True,male,black,29.0
714,15-0286,2015-06-05,1700, PHYSICAL ABUSE,"According to the complainant, on 5-24-15 at 10:10pm, they were physically abused by officers assigned to the 17th District.",2015-05-24,77252008.0,white,male,1700 17TH DISTRICT,Physical Abuse,2,"15-0286,77252008.0,Physical Abuse",True,True,True,male,black,29.0
716,15-0286,2015-06-05,1700, PHYSICAL ABUSE,"According to the complainant, on 5-24-15 at 10:10pm, they were physically abused by officers assigned to the 17th District.",2015-05-24,29333764.0,white,male,1700 17TH DISTRICT,Physical Abuse,1,"15-0286,29333764.0,Physical Abuse",False,False,False,male,black,29.0
718,15-0287,2015-06-04,500, LACK OF SERVICE,"According to the complainant, on 3-17-15 at approximately 3:30pm, they did not receive proper service from a lieutenant, sergeant, and other unidentified 5th District officers.",2015-03-17,98660928.0,white,male,0500 05TH DISTRICT,Lack of Service,1,"15-0287,98660928.0,Lack of Service",False,False,False,male,white,51.0
719,15-0287,2015-06-04,500, LACK OF SERVICE,"According to the complainant, on 3-17-15 at approximately 3:30pm, they did not receive proper service from a lieutenant, sergeant, and other unidentified 5th District officers.",2015-03-17,43164178.0,white,male,0500 05TH DISTRICT,Lack of Service,1,"15-0287,43164178.0,Lack of Service",False,False,False,male,white,51.0
720,15-0287,2015-06-04,500, LACK OF SERVICE,"According to the complainant, on 3-17-15 at approximately 3:30pm, they did not receive proper service from a lieutenant, sergeant, and other unidentified 5th District officers.",2015-03-17,28694497.0,white,male,0500 05TH DISTRICT,Lack of Service,1,"15-0287,28694497.0,Lack of Service",False,False,False,male,white,51.0
721,15-0288,2015-06-04,2200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-26-15 at 2:30am, they were harassed by an officer assigned to the 22nd District.",2015-05-26,95869027.0,white,female,0300 03RD DISTRICT,Departmental Violation,1,"15-0288,95869027.0,Departmental Violation",False,False,False,male,white,42.0
722,15-0288,2015-06-04,2200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-26-15 at 2:30am, they were harassed by an officer assigned to the 22nd District.",2015-05-26,50675050.0,white,female,0100 01ST DISTRICT,Departmental Violation,1,"15-0288,50675050.0,Departmental Violation",False,False,False,male,white,42.0
723,15-0288,2015-06-04,2200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-26-15 at 2:30am, they were harassed by an officer assigned to the 22nd District.",2015-05-26,45317499.0,black,male,2200 22ND DISTRICT,Departmental Violation,1,"15-0288,45317499.0,Departmental Violation",False,False,False,male,white,42.0
724,15-0289,2015-06-08,1500, VERBAL ABUSE,"According to the complainant, on 5-26-15, they were verbally abused and did not receive proper service from unknown 15th District officers and NEDD personnel.",2015-05-26,48541299.0,white,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0289,48541299.0,Verbal Abuse",False,False,False,female,white,60.0
725,15-0289,2015-06-08,1500, VERBAL ABUSE,"According to the complainant, on 5-26-15, they were verbally abused and did not receive proper service from unknown 15th District officers and NEDD personnel.",2015-05-26,48541299.0,white,male,1500 15TH DISTRICT,Lack of Service,1,"15-0289,48541299.0,Lack of Service",False,False,False,female,white,60.0
726,15-0290,2015-06-04,1500, UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-30-15 at 12:15pm, they were physically and verbally abused by unknown 15th District officers.",2015-05-30,12472497.0,white,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0290,12472497.0,Verbal Abuse",False,False,False,female,white,33.0
727,15-0290,2015-06-04,1500, UNPROFESSIONAL CONDUCT,"According to the complainant, on 5-30-15 at 12:15pm, they were physically and verbally abused by unknown 15th District officers.",2015-05-30,51980707.0,black,female,1500 15TH DISTRICT,Unprofessional Conduct,1,"15-0290,51980707.0,Unprofessional Conduct",False,False,False,female,white,33.0
728,15-0291,2015-06-05,600, PHYSICAL ABUSE,"According to the complainant, on 06-05-15, they were physically abused by an unknown officer assigned to the 25th District.",2015-06-05,86402246.0,white,male,9807 SUPP POLICE SERVICE,Physical Abuse,1,"15-0291,86402246.0,Physical Abuse",False,False,False,male,black,44.0
729,15-0292,2015-06-03,300, LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District.",2015-05-30,36215669.0,white,male,0300 03RD DISTRICT,Verbal Abuse,1,"15-0292,36215669.0,Verbal Abuse",False,False,False,female,white,44.0
729,15-0292,2015-06-03,300, LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District.",2015-05-30,36215669.0,white,male,0300 03RD DISTRICT,Verbal Abuse,1,"15-0292,36215669.0,Verbal Abuse",False,False,False,male,white,46.0
730,15-0292,2015-06-03,300, LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District.",2015-05-30,36215669.0,white,male,0300 03RD DISTRICT,Lack of Service,1,"15-0292,36215669.0,Lack of Service",True,False,True,female,white,44.0
730,15-0292,2015-06-03,300, LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District.",2015-05-30,36215669.0,white,male,0300 03RD DISTRICT,Lack of Service,1,"15-0292,36215669.0,Lack of Service",True,False,True,male,white,46.0
731,15-0292,2015-06-03,300, LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District.",2015-05-30,42237550.0,black,male,0300 03RD DISTRICT,Verbal Abuse,1,"15-0292,42237550.0,Verbal Abuse",False,False,False,female,white,44.0
731,15-0292,2015-06-03,300, LACK OF SERVICE,"According to the complainant, on 5-30-15 at 2:45pm, they did not receive proper service from and was verbally abused by an officer assigned to the 3rd District.",2015-05-30,42237550.0,black,male,0300 03RD DISTRICT,Verbal Abuse,1,"15-0292,42237550.0,Verbal Abuse",False,False,False,male,white,46.0
732,15-0293,2015-06-08,1900, PHYSICAL ABUSE,"According to the complainant, on 5-28-15 at 7:30pm, they were physically abused and falsely detained by unknown 19th District officers.",2015-05-28,27231256.0,white,male,1900 19TH DISTRICT,Physical Abuse,1,"15-0293,27231256.0,Physical Abuse",False,False,False,male,black,24.0
733,15-0293,2015-06-08,1900, PHYSICAL ABUSE,"According to the complainant, on 5-28-15 at 7:30pm, they were physically abused and falsely detained by unknown 19th District officers.",2015-05-28,17262365.0,black,male,1900 19TH DISTRICT,Physical Abuse,1,"15-0293,17262365.0,Physical Abuse",False,False,False,male,black,24.0
734,15-0294,2015-06-05,2500, LACK OF SERVICE,"According to the complainant, on 5-22-15 at 5:24pm, officers assigned to the 25th District, were rude and unprofessional during their handling of a domestic incident.",2015-05-22,17993471.0,white,male,2500 25TH DISTRICT,Lack of Service,1,"15-0294,17993471.0,Lack of Service",False,False,False,female,latino,31.0
735,15-0294,2015-06-05,2500, LACK OF SERVICE,"According to the complainant, on 5-22-15 at 5:24pm, officers assigned to the 25th District, were rude and unprofessional during their handling of a domestic incident.",2015-05-22,11075860.0,latino,male,2500 25TH DISTRICT,Lack of Service,1,"15-0294,11075860.0,Lack of Service",False,False,False,female,latino,31.0
736,15-0295,2015-06-08,2300, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-25-15 at 9:04pm, they were falsely arrested by an officer assigned to the 22nd District.",2015-05-25,74960672.0,white,female,2200 22ND DISTRICT,Departmental Violation,1,"15-0295,74960672.0,Departmental Violation",False,False,False,female,black,24.0
737,15-0296,2015-06-08,100, VERBAL ABUSE,"According to the complainant, on 5-20-15 at 5:00pm, they were verbally abused by an officer assigned to the 1st District.",2015-05-20,60615274.0,asian,female,0100 01ST DISTRICT,Verbal Abuse,1,"15-0296,60615274.0,Verbal Abuse",False,False,False,female,black,28.0
738,15-0297,2015-06-08,1500, PHYSICAL ABUSE,"According to the complainant, on 6-3-15 at 9:15pm, they were physically and verbally abused by unknown 15th District officers and did not receive proper service from their supervisor.",2015-06-03,51762010.0,black,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0297,51762010.0,Verbal Abuse",False,False,False,male,black,39.0
739,15-0297,2015-06-08,1500, PHYSICAL ABUSE,"According to the complainant, on 6-3-15 at 9:15pm, they were physically and verbally abused by unknown 15th District officers and did not receive proper service from their supervisor.",2015-06-03,51762010.0,black,male,1500 15TH DISTRICT,Physical Abuse,1,"15-0297,51762010.0,Physical Abuse",False,False,False,male,black,39.0
740,15-0297,2015-06-08,1500, PHYSICAL ABUSE,"According to the complainant, on 6-3-15 at 9:15pm, they were physically and verbally abused by unknown 15th District officers and did not receive proper service from their supervisor.",2015-06-03,76774103.0,white,male,5300 HIGHWAY PATROL,Lack of Service,1,"15-0297,76774103.0,Lack of Service",False,False,False,male,black,39.0
741,15-0298,2015-06-10,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-25-14 at 7:00am, they were treated unprofessionally by an officer assigned to Traffic and did not receive proper service from an unidentified 14th District officer.",2014-09-25,74967195.0,black,male,5200 TRAFFIC DISTRICT,Falsification,1,"15-0298,74967195.0,Falsification",True,True,True,female,black,26.0
742,15-0298,2015-06-10,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-25-14 at 7:00am, they were treated unprofessionally by an officer assigned to Traffic and did not receive proper service from an unidentified 14th District officer.",2014-09-25,85892068.0,black,male,1400 14TH DISTRICT,Departmental Violation,1,"15-0298,85892068.0,Departmental Violation",False,False,False,female,black,26.0
743,15-0298,2015-06-10,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-25-14 at 7:00am, they were treated unprofessionally by an officer assigned to Traffic and did not receive proper service from an unidentified 14th District officer.",2014-09-25,74967195.0,black,male,5200 TRAFFIC DISTRICT,Departmental Violation,1,"15-0298,74967195.0,Departmental Violation",True,True,True,female,black,26.0
744,15-0299,2015-06-08,3500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-28-15 at 2:38am, their property was not returned to them by an officer assigned to the 35th District.",2015-05-28,31431638.0,white,male,3500 35TH DISTRICT,Departmental Violation,1,"15-0299,31431638.0,Departmental Violation",False,False,False,male,black,20.0
745,15-0300,2015-06-10,900, PHYSICAL ABUSE,"According to the complainant, on 6-7-15 at 11:20am, they were physically abused by an officer assigned to the Police Academy.",2015-06-07,92793542.0,black,male,5800 ACADEMY RECRUIT TRN,Physical Abuse,1,"15-0300,92793542.0,Physical Abuse",False,False,False,male,white,48.0
746,15-0301,2015-06-10,1600, LACK OF SERVICE,"According to the complainant, on 4-23-15 at approximately 3:00pm, their spouse did not receive proper service from a lieutenant, sergeant, and officers assigned to the 16th District.",2015-04-23,13362562.0,black,male,1600 16TH DISTRICT,Lack of Service,1,"15-0301,13362562.0,Lack of Service",False,False,False,male,,27.0
747,15-0301,2015-06-10,1600, LACK OF SERVICE,"According to the complainant, on 4-23-15 at approximately 3:00pm, their spouse did not receive proper service from a lieutenant, sergeant, and officers assigned to the 16th District.",2015-04-23,65951883.0,black,male,1600 16TH DISTRICT,Lack of Service,1,"15-0301,65951883.0,Lack of Service",False,False,False,male,,27.0
748,15-0301,2015-06-10,1600, LACK OF SERVICE,"According to the complainant, on 4-23-15 at approximately 3:00pm, their spouse did not receive proper service from a lieutenant, sergeant, and officers assigned to the 16th District.",2015-04-23,37322198.0,black,female,1600 16TH DISTRICT,Lack of Service,1,"15-0301,37322198.0,Lack of Service",False,False,False,male,,27.0
749,15-0301,2015-06-10,1600, LACK OF SERVICE,"According to the complainant, on 4-23-15 at approximately 3:00pm, their spouse did not receive proper service from a lieutenant, sergeant, and officers assigned to the 16th District.",2015-04-23,36817514.0,white,male,1600 16TH DISTRICT,Lack of Service,1,"15-0301,36817514.0,Lack of Service",False,False,False,male,,27.0
750,15-0302,2015-06-10,1500, PHYSICAL ABUSE,"According to the complainant, on 5-31-15 at 12:00am, on behalf of their sibling, states that they were physically abused by an officer assigned to the 15th District.",2015-05-31,76071664.0,white,male,1500 15TH DISTRICT,Departmental Violation,1,"15-0302,76071664.0,Departmental Violation",False,False,False,female,white,25.0
751,15-0303,2015-06-10,200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-7-15 at 9:01pm, they were improperly issued a traffic citation by an officer assigned to the 2nd District.",2015-06-07,34910013.0,white,male,0200 02ND DISTRICT,Departmental Violation,1,"15-0303,34910013.0,Departmental Violation",False,False,False,female,black,31.0
752,15-0304,2015-06-11,1200, PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers.",2015-04-10,85068952.0,white,male,1200 12TH DISTRICT,Departmental Violation,1,"15-0304,85068952.0,Departmental Violation",False,False,False,female,black,55.0
753,15-0304,2015-06-11,1200, PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers.",2015-04-10,85068952.0,white,male,1200 12TH DISTRICT,Physical Abuse,1,"15-0304,85068952.0,Physical Abuse",False,False,False,female,black,55.0
754,15-0304,2015-06-11,1200, PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers.",2015-04-10,85068952.0,white,male,1200 12TH DISTRICT,Verbal Abuse,1,"15-0304,85068952.0,Verbal Abuse",False,False,False,female,black,55.0
755,15-0304,2015-06-11,1200, PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers.",2015-04-10,52020017.0,white,male,1200 12TH DISTRICT,Physical Abuse,1,"15-0304,52020017.0,Physical Abuse",False,False,False,female,black,55.0
756,15-0304,2015-06-11,1200, PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers.",2015-04-10,52020017.0,white,male,1200 12TH DISTRICT,Departmental Violation,1,"15-0304,52020017.0,Departmental Violation",False,False,False,female,black,55.0
757,15-0304,2015-06-11,1200, PHYSICAL ABUSE,"According to the complainant, on 4-10-15 at 11:00am, they were falsely arrested and physically abused by unknown 12th District officers.",2015-04-10,52020017.0,white,male,1200 12TH DISTRICT,Verbal Abuse,1,"15-0304,52020017.0,Verbal Abuse",False,False,False,female,black,55.0
758,15-0305,2015-06-11,3500, VERBAL ABUSE,"According to the complainant, they were treated unprofessionally by an unidentified officer in the confines of the 35th District.",,95517808.0,black,female,3500 35TH DISTRICT,Verbal Abuse,1,"15-0305,95517808.0,Verbal Abuse",False,False,False,female,black,44.0
759,15-0305,2015-06-11,3500, VERBAL ABUSE,"According to the complainant, they were treated unprofessionally by an unidentified officer in the confines of the 35th District.",,95517808.0,black,female,3500 35TH DISTRICT,Harassment,1,"15-0305,95517808.0,Harassment",False,False,False,female,black,44.0
760,15-0306,2015-06-12,3900, LACK OF SERVICE,"According to the complainant, on 6-1-15 at 12:30pm, they did not receive proper service from an officer assigned to the 39th District.",2015-06-01,22224923.0,white,male,3900 39TH DISTRICT,Lack of Service,1,"15-0306,22224923.0,Lack of Service",False,False,False,female,black,36.0
761,15-0307,2015-06-12,1500, LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers.",,77723733.0,white,male,6400 NORTHEAST DET,Lack of Service,1,"15-0307,77723733.0,Lack of Service",False,False,False,female,black,35.0
762,15-0307,2015-06-12,1500, LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers.",,83356801.0,black,male,1500 15TH DISTRICT,Lack of Service,1,"15-0307,83356801.0,Lack of Service",False,False,False,female,black,35.0
763,15-0307,2015-06-12,1500, LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers.",,97901155.0,white,male,1500 15TH DISTRICT,Lack of Service,1,"15-0307,97901155.0,Lack of Service",False,False,False,female,black,35.0
764,15-0307,2015-06-12,1500, LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers.",,94309999.0,black,female,6400 NORTHEAST DET,Lack of Service,1,"15-0307,94309999.0,Lack of Service",False,False,False,female,black,35.0
765,15-0307,2015-06-12,1500, LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers.",,70470182.0,latino,male,1500 15TH DISTRICT,Lack of Service,1,"15-0307,70470182.0,Lack of Service",False,False,False,female,black,35.0
766,15-0307,2015-06-12,1500, LACK OF SERVICE,"According to the complainant, they called 911 multiple times and did not receive proper service from unknown 15th District officers.",,60706254.0,asian,male,1500 15TH DISTRICT,Lack of Service,1,"15-0307,60706254.0,Lack of Service",False,False,False,female,black,35.0
767,15-0308,2015-06-12,1500, VERBAL ABUSE,"According to the complainant, on 5-30-15 at 9:45pm, they were verbally abused by officers assigned to the 15th District.",2015-05-30,76071664.0,white,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0308,76071664.0,Verbal Abuse",False,False,False,male,black,21.0
768,15-0308,2015-06-12,1500, VERBAL ABUSE,"According to the complainant, on 5-30-15 at 9:45pm, they were verbally abused by officers assigned to the 15th District.",2015-05-30,96096994.0,white,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0308,96096994.0,Verbal Abuse",False,False,False,male,black,21.0
769,15-0309,2015-06-16,, DEPARTMENTAL VIOLATIONS,"According to the complainant, since January 2015 they have been harassed and falsely arrested by a sergeant assigned to the 26th District.",,70765954.0,white,male,2600 26TH DISTRICT,Departmental Violation,1,"15-0309,70765954.0,Departmental Violation",False,False,False,female,white,40.0
770,15-0309,2015-06-16,, DEPARTMENTAL VIOLATIONS,"According to the complainant, since January 2015 they have been harassed and falsely arrested by a sergeant assigned to the 26th District.",,70765954.0,white,male,2600 26TH DISTRICT,Harassment,1,"15-0309,70765954.0,Harassment",False,False,False,female,white,40.0
771,15-0309,2015-06-16,, DEPARTMENTAL VIOLATIONS,"According to the complainant, since January 2015 they have been harassed and falsely arrested by a sergeant assigned to the 26th District.",,70765954.0,white,male,2600 26TH DISTRICT,Verbal Abuse,1,"15-0309,70765954.0,Verbal Abuse",False,False,False,female,white,40.0
773,15-0311,2015-06-16,600, VERBAL ABUSE,"According to the complainant, they were treated unprofessionally by a lieutenant and detective assigned to the Homicide Unit.",,94487153.0,white,male,6003 HOMICIDE UNIT,Verbal Abuse,1,"15-0311,94487153.0,Verbal Abuse",False,False,False,female,black,
774,15-0311,2015-06-16,600, VERBAL ABUSE,"According to the complainant, they were treated unprofessionally by a lieutenant and detective assigned to the Homicide Unit.",,11426736.0,black,male,6003 HOMICIDE UNIT,Verbal Abuse,1,"15-0311,11426736.0,Verbal Abuse",False,False,False,female,black,
775,15-0312,2015-06-16,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-30-15 at 9:30am, a sergeant and officer assigned to the 19th District improperly searched their home.",2015-05-30,43197824.0,black,female,1900 19TH DISTRICT,Departmental Violation,1,"15-0312,43197824.0,Departmental Violation",False,False,False,,,
776,15-0312,2015-06-16,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-30-15 at 9:30am, a sergeant and officer assigned to the 19th District improperly searched their home.",2015-05-30,63561670.0,black,male,1900 19TH DISTRICT,Departmental Violation,1,"15-0312,63561670.0,Departmental Violation",False,False,False,,,
778,15-0314,2015-06-18,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, 5-27-15 at 5:00pm, unidentified officers assigned to Highway Patrol improperly entered their residence and damaged their property.",2015-05-27,27874643.0,black,male,4601 S.W.A.T.,Departmental Violation,1,"15-0314,27874643.0,Departmental Violation",False,False,False,female,black,47.0
780,15-0315,2015-06-18,200, VERBAL ABUSE,"According to the complainant, on 5-15-15 at 7:00pm, they were verbally abused and treated unprofessionally by a officer assigned to Highway Patrol.",2015-05-15,26232873.0,white,male,5300 HIGHWAY PATROL,Departmental Violation,1,"15-0315,26232873.0,Departmental Violation",True,False,True,male,white,42.0
781,15-0315,2015-06-18,200, VERBAL ABUSE,"According to the complainant, on 5-15-15 at 7:00pm, they were verbally abused and treated unprofessionally by a officer assigned to Highway Patrol.",2015-05-15,26232873.0,white,male,5300 HIGHWAY PATROL,Verbal Abuse,1,"15-0315,26232873.0,Verbal Abuse",False,False,False,male,white,42.0
782,15-0316,2015-06-18,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-9-15 at 10:45pm, they were improperly searched and treated unprofessionally by an unidentified officer in the 15th District.",2015-06-09,60290490.0,white,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0316,60290490.0,Verbal Abuse",False,False,False,female,,28.0
783,15-0316,2015-06-18,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-9-15 at 10:45pm, they were improperly searched and treated unprofessionally by an unidentified officer in the 15th District.",2015-06-09,29441911.0,white,female,1500 15TH DISTRICT,Departmental Violation,1,"15-0316,29441911.0,Departmental Violation",False,False,False,female,,28.0
785,15-0317,2015-06-18,2600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-8-15 at 8:23am, they were falsely arrested and physically abused by unknown 26th District officers.",2015-06-08,91533891.0,white,male,2600 26TH DISTRICT,Departmental Violation,1,"15-0317,91533891.0,Departmental Violation",False,False,False,female,latino,40.0
